metric,I_Y_Xi
certificate_complexity,0.021703
counting,0.010481
degree,0.004772
entanglement,0.263464
entanglement_entropy,0.299905
entropy,0.035755
influence,0.166084
nolinearity,0.058826
repetitiveness,0.105177
sensitivity,0.021654
spectral_entropy,0.137014
